Компонент Модуль  Версія Сума,MGA-01900-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01900-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00400-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00400-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01100-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01100-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01200-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01200-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01600-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01600-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02900-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00700-EIP-AB_UA-BEI_C000 kWh  2.*,MGA-00700-EIP-BB_UA-BEI_C000 kWh  2.*,MGA-02400-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02400-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01400-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01400-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00300-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00300-EIP-B_UA-IPS_C000 kWh  2.*,MGA-03000-EIP-A_UA-IPS_C000 kWh  2.*,MGA-03000-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02900-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02500-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02500-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01800-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01800-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01000-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01000-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02700-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02700-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00100-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00100-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00000-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00000-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02200-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02200-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02100-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02100-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01500-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01500-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00500-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00500-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00801-EIP-AB_UA-BEI_C000 kWh  2.*,MGA-00801-EIP-BB_UA-BEI_C000 kWh  2.*,MGA-00800-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00800-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02600-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02600-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02901-EIP-BB_UA-BEI_C000 kWh  2.*,MGA-00600-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00600-EIP-B_UA-IPS_C000 kWh  2.*,MGA-03300-EIP-B_UA-IPS_C000 kWh  2.*,MGA-03300-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00901-EIP-AB_UA-BEI_C000 kWh  2.*,MGA-00901-EIP-BB_UA-BEI_C000 kWh  2.*,MGA-00900-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00900-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02300-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02300-EIP-B_UA-IPS_C000 kWh  2.*,MGA-03400-EIP-A_UA-IPS_C000 kWh  2.*,MGA-03400-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02000-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02000-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02800-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02800-EIP-B_UA-IPS_C000 kWh  2.*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.03.2022 10:00 - 11:00,f,f,768,0,319,0,0,0,314,0,0,0,450,0,0,0,51,0,9,0,f,f,0,0,295,0,0,0,0,0,0,0,0,0,0,0,244,0,16,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,575,0,0,0,267,0,0,0,270,0,0,0,126,0,0,0,140,0,0,0,0,0,0,0,61,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 11:00 - 12:00,f,f,606,0,326,0,0,0,337,0,0,0,441,0,0,0,51,0,9,0,f,f,0,0,295,0,0,0,0,0,0,0,0,0,0,0,245,0,16,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,562,0,0,0,266,0,0,0,266,0,0,0,127,0,0,0,135,0,0,0,0,0,0,0,56,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 12:00 - 13:00,f,f,686,0,323,0,0,0,333,0,0,0,431,0,0,0,48,0,9,0,f,f,0,0,290,0,0,0,0,0,0,0,0,0,0,0,244,0,18,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,561,0,0,0,265,0,0,0,275,0,0,0,124,0,0,0,138,0,0,0,0,0,0,0,56,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 13:00 - 14:00,f,f,488,0,317,0,0,0,335,0,0,0,429,0,0,0,48,0,9,0,f,f,0,0,283,0,0,0,0,0,0,0,0,0,0,0,242,0,18,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,560,0,0,0,262,0,0,0,247,0,0,0,124,0,0,0,141,0,0,0,0,0,0,0,54,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 14:00 - 15:00,f,f,670,0,319,0,0,0,326,0,0,0,427,0,0,0,48,0,9,0,f,f,0,0,277,0,0,0,0,0,0,0,0,0,0,0,239,0,18,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,550,0,0,0,257,0,0,0,233,0,0,0,121,0,0,0,133,0,0,0,0,0,0,0,52,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 15:00 - 16:00,f,f,598,0,324,0,0,0,320,0,7,0,435,0,0,0,46,0,8,0,f,f,0,0,269,0,0,0,0,0,0,0,0,0,0,0,236,0,16,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,529,0,0,0,251,0,0,0,224,0,0,0,120,0,0,0,130,0,0,0,0,0,0,0,52,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 16:00 - 17:00,f,f,673,0,327,0,0,0,288,0,7,0,435,0,0,0,46,0,9,0,f,f,0,0,271,0,0,0,0,0,0,0,0,0,0,0,236,0,16,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,526,0,0,0,256,0,0,0,227,0,0,0,120,0,0,0,136,0,0,0,0,0,0,0,53,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 17:00 - 18:00,f,f,673,0,334,0,0,0,190,0,13,0,449,0,0,0,46,0,8,0,f,f,0,0,284,0,0,0,0,0,0,0,0,0,0,0,233,0,14,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,540,0,0,0,258,0,0,0,226,0,0,0,121,0,0,0,134,0,0,0,0,0,0,0,56,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 18:00 - 19:00,f,f,571,0,327,0,0,0,85,0,12,0,435,0,0,0,46,0,9,0,f,f,0,0,287,0,0,0,0,0,0,0,0,0,0,0,235,0,12,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,547,0,0,0,267,0,0,0,229,0,0,0,120,0,0,0,136,0,0,0,0,0,0,0,60,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 19:00 - 20:00,f,f,569,0,309,0,0,0,81,0,7,0,403,0,0,0,44,0,9,0,f,f,0,0,281,0,0,0,0,0,0,0,0,0,0,0,231,0,10,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,533,0,0,0,258,0,0,0,209,0,0,0,116,0,0,0,134,0,0,0,0,0,0,0,59,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 20:00 - 21:00,f,f,486,0,299,0,0,0,79,0,8,0,397,0,0,0,41,0,9,0,f,f,0,0,273,0,0,0,0,0,0,0,0,0,0,0,223,0,12,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,516,0,0,0,240,0,0,0,207,0,0,0,112,0,0,0,128,0,0,0,0,0,0,0,58,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 21:00 - 22:00,f,f,496,0,293,0,0,0,79,0,7,0,379,0,0,0,39,0,8,0,f,f,0,0,257,0,0,0,0,0,0,0,0,0,0,0,215,0,10,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,491,0,0,0,223,0,0,0,209,0,0,0,107,0,0,0,121,0,0,0,0,0,0,0,54,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 22:00 - 23:00,f,f,579,0,274,0,0,0,75,0,14,0,347,0,0,0,35,0,9,0,f,f,0,0,240,0,0,0,0,0,0,0,0,0,0,0,205,0,10,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,462,0,0,0,201,0,0,0,216,0,0,0,100,0,0,0,114,0,0,0,0,0,0,0,49,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 23:00 - 24:00,f,f,490,0,259,0,0,0,75,0,9,0,329,0,0,0,31,0,9,0,f,f,0,0,227,0,0,0,0,0,0,0,0,0,0,0,200,0,10,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,445,0,0,0,189,0,0,0,223,0,0,0,98,0,0,0,113,0,0,0,0,0,0,0,44,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
02.03.2022 00:00 - 01:00,f,f,648,0,255,0,0,0,78,0,7,0,315,0,0,0,28,0,9,0,f,f,0,0,214,0,0,0,0,0,0,0,0,0,0,0,191,0,12,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,420,0,0,0,173,0,0,0,214,0,0,0,95,0,0,0,107,0,0,0,0,0,0,0,35,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
02.03.2022 01:00 - 02:00,f,f,647,0,246,0,0,0,77,0,6,0,303,0,0,0,27,0,9,0,f,f,0,0,201,0,0,0,0,0,0,0,0,0,0,0,185,0,10,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,399,0,0,0,165,0,0,0,211,0,0,0,92,0,0,0,104,0,0,0,0,0,0,0,33,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
02.03.2022 02:00 - 03:00,f,f,572,0,243,0,0,0,82,0,5,0,295,0,0,0,28,0,9,0,f,f,0,0,194,0,0,0,0,0,0,0,0,0,0,0,181,0,10,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,389,0,0,0,163,0,0,0,212,0,0,0,89,0,0,0,103,0,0,0,0,0,0,0,31,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
02.03.2022 03:00 - 04:00,f,f,645,0,245,0,0,0,79,0,6,0,295,0,0,0,25,0,8,0,f,f,0,0,187,0,0,0,0,0,0,0,0,0,0,0,179,0,10,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,383,0,0,0,160,0,0,0,212,0,0,0,90,0,0,0,103,0,0,0,0,0,0,0,31,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
02.03.2022 04:00 - 05:00,f,f,733,0,246,0,0,0,78,0,8,0,299,0,0,0,27,0,9,0,f,f,0,0,191,0,0,0,0,0,0,0,0,0,0,0,179,0,10,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,388,0,0,0,162,0,0,0,209,0,0,0,90,0,0,0,104,0,0,0,0,0,0,0,32,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
02.03.2022 05:00 - 06:00,f,f,552,0,255,0,0,0,76,0,10,0,315,0,0,0,27,0,9,0,f,f,0,0,201,0,0,0,0,0,0,0,0,0,0,0,182,0,8,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,399,0,0,0,170,0,0,0,228,0,0,0,91,0,0,0,108,0,0,0,0,0,0,0,33,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
02.03.2022 06:00 - 07:00,f,f,672,0,276,0,0,0,78,0,7,0,363,0,0,0,32,0,9,0,f,f,0,0,224,0,0,0,0,0,0,0,0,0,0,0,187,0,10,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,437,0,0,0,191,0,0,0,223,0,0,0,96,0,0,0,122,0,0,0,0,0,0,0,39,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
02.03.2022 07:00 - 08:00,f,f,654,0,299,0,0,0,88,0,5,0,411,0,0,0,40,0,9,0,f,f,0,0,242,0,0,0,0,0,0,0,0,0,0,0,201,0,14,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,474,0,0,0,222,0,0,0,215,0,0,0,105,0,0,0,132,0,0,0,0,0,0,0,45,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
02.03.2022 08:00 - 09:00,f,f,675,0,321,0,0,0,159,0,5,0,444,0,0,0,46,0,9,0,f,f,0,0,266,0,0,0,0,0,0,0,0,0,0,0,219,0,14,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,521,0,0,0,250,0,0,0,226,0,0,0,118,0,0,0,140,0,0,0,0,0,0,0,49,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
02.03.2022 09:00 - 10:00,f,f,671,0,327,0,0,0,222,0,5,0,456,0,0,0,50,0,7,0,f,f,0,0,288,0,0,0,0,0,0,0,0,0,0,0,233,0,18,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,563,0,0,0,267,0,0,0,238,0,0,0,124,0,0,0,144,0,0,0,0,0,0,0,52,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
02.03.2022 10:00 - 11:00,f,f,752,0,332,0,0,0,346,0,32,0,452,0,0,0,49,0,9,0,f,f,0,0,295,0,0,0,0,0,0,0,0,0,0,0,238,0,18,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,566,0,0,0,269,0,0,0,246,0,0,0,125,0,0,0,143,0,0,0,0,0,0,0,53,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
02.03.2022 11:00 - 12:00,f,f,589,0,331,0,0,0,343,0,10,0,448,0,0,0,49,0,9,0,f,f,0,0,288,0,0,0,0,0,0,0,0,0,0,0,242,0,16,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,560,0,0,0,266,0,0,0,250,0,0,0,125,0,0,0,146,0,0,0,0,0,0,0,51,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
02.03.2022 12:00 - 13:00,f,f,752,0,327,0,0,0,323,0,12,0,444,0,0,0,47,0,9,0,f,f,0,0,289,0,0,0,0,0,0,0,0,0,0,0,238,0,18,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,560,0,0,0,262,0,0,0,288,0,0,0,123,0,0,0,144,0,0,0,0,0,0,0,51,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
02.03.2022 13:00 - 14:00,f,f,139,0,322,0,0,0,340,0,16,0,431,0,0,0,46,0,9,0,f,f,0,0,284,0,0,0,0,0,0,0,0,0,0,0,234,0,18,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,556,0,0,0,262,0,0,0,317,0,0,0,121,0,0,0,144,0,0,0,0,0,0,0,50,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
02.03.2022 14:00 - 15:00,f,f,148,0,298,0,0,0,330,0,5,0,423,0,0,0,45,0,9,0,f,f,0,0,277,0,0,0,0,0,0,0,0,0,0,0,234,0,16,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,547,0,0,0,258,0,0,0,307,0,0,0,120,0,0,0,142,0,0,0,0,0,0,0,49,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
02.03.2022 15:00 - 16:00,f,f,142,0,297,0,0,0,314,0,30,0,425,0,0,0,45,0,7,0,f,f,0,0,275,0,0,0,0,0,0,0,0,0,0,0,232,0,16,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,534,0,0,0,255,0,0,0,295,0,0,0,118,0,0,0,140,0,0,0,0,0,0,0,50,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
